iter	Passed	Remaining
431	1269	1669
432	1272	1665
433	1274	1662
434	1276	1658
435	1279	1654
436	1281	1651
437	1284	1647
438	1286	1644
439	1288	1640
440	1291	1636
441	1293	1633
442	1295	1629
443	1298	1625
444	1300	1622
445	1303	1618
446	1305	1615
447	1307	1611
448	1310	1607
449	1312	1604
450	1314	1600
451	1317	1597
452	1319	1593
453	1322	1590
454	1325	1587
455	1327	1583
456	1329	1580
457	1332	1576
458	1334	1573
459	1337	1569
460	1339	1566
461	1342	1562
462	1344	1559
463	1346	1555
464	1348	1551
465	1351	1548
466	1353	1545
467	1356	1541
468	1358	1538
469	1361	1534
470	1363	1531
471	1365	1527
472	1368	1524
473	1370	1520
474	1372	1517
475	1375	1513
476	1377	1510
477	1379	1506
478	1382	1503
479	1385	1500
480	1387	1497
481	1389	1493
482	1392	1490
483	1394	1486
484	1396	1483
485	1399	1480
486	1402	1477
487	1404	1474
488	1407	1470
489	1409	1467
490	1412	1463
491	1414	1460
492	1417	1457
493	1419	1454
494	1422	1450
495	1424	1447
496	1426	1444
497	1429	1440
498	1431	1437
499	1434	1434
500	1437	1431
501	1439	1428
502	1442	1424
503	1444	1421
504	1446	1418
505	1449	1415
506	1451	1411
507	1453	1408
508	1456	1404
509	1458	1401
510	1461	1398
511	1463	1394
512	1466	1391
513	1468	1388
514	1470	1385
515	1473	1381
516	1475	1378
517	1477	1375
518	1480	1372
519	1482	1368
520	1485	1365
521	1487	1362
522	1489	1358
523	1492	1355
524	1494	1352
525	1497	1349
526	1499	1346
527	1502	1342
528	1504	1339
529	1507	1336
530	1509	1333
531	1512	1330
532	1515	1327
533	1518	1325
534	1521	1322
535	1524	1319
536	1527	1316
537	1529	1313
538	1532	1310
539	1534	1307
540	1536	1303
541	1539	1300
542	1541	1297
543	1544	1294
544	1546	1291
545	1548	1287
546	1551	1284
547	1553	1281
548	1555	1278
549	1558	1274
550	1560	1271
551	1562	1268
552	1565	1265
553	1567	1261
554	1569	1258
555	1572	1255
556	1574	1252
557	1577	1249
558	1579	1246
559	1581	1242
560	1584	1239
561	1586	1236
562	1588	1233
563	1591	1230
564	1593	1226
565	1596	1223
566	1598	1220
567	1600	1217
568	1602	1214
569	1605	1210
570	1607	1207
571	1610	1205
572	1612	1201
573	1615	1198
574	1617	1195
575	1619	1192
576	1621	1189
577	1624	1186
578	1626	1182
579	1629	1179
580	1631	1176
581	1633	1173
582	1636	1170
583	1638	1167
584	1640	1164
585	1643	1161
586	1645	1158
587	1648	1154
588	1650	1151
589	1652	1148
590	1655	1145
591	1657	1142
592	1660	1139
593	1662	1136
594	1664	1133
595	1667	1130
596	1669	1126
597	1671	1123
598	1674	1120
599	1676	1117
600	1679	1114
601	1681	1111
602	1683	1108
603	1686	1105
604	1688	1102
605	1691	1099
606	1693	1096
607	1695	1093
608	1698	1090
609	1700	1087
610	1702	1084
611	1705	1081
612	1707	1078
613	1709	1074
614	1712	1071
615	1714	1068
616	1716	1065
617	1719	1062
618	1722	1060
619	1724	1057
620	1726	1053
621	1729	1050
622	1731	1047
623	1733	1044
624	1736	1041
625	1738	1038
626	1741	1035
627	1743	1032
628	1745	1029
629	1748	1026
630	1750	1023
631	1752	1020
632	1755	1017
633	1757	1014
634	1759	1011
635	1762	1008
636	1764	1005
637	1767	1002
638	1769	999
639	1772	996
640	1774	993
641	1776	990
642	1779	987
643	1781	984
644	1784	981
645	1786	979
646	1788	976
647	1791	973
648	1793	970
649	1795	967
650	1798	964
651	1800	961
652	1803	958
653	1805	955
654	1807	952
655	1810	949
656	1812	946
657	1814	943
658	1817	940
659	1819	937
660	1822	934
661	1824	931
662	1826	928
663	1829	925
664	1831	922
665	1833	919
666	1836	916
667	1838	913
668	1840	910
669	1843	907
670	1845	904
671	1848	902
672	1850	899
673	1852	896
674	1855	893
675	1857	890
676	1859	887
677	1862	884
678	1865	881
679	1867	878
680	1869	875
681	1872	872
682	1874	869
683	1876	866
684	1879	864
685	1881	861
686	1883	858
687	1886	855
688	1888	852
689	1890	849
690	1893	846
691	1895	843
692	1898	840
693	1900	837
694	1902	834
695	1905	832
696	1907	829
697	1909	826
698	1912	823
699	1914	820
700	1916	817
701	1918	814
702	1921	811
703	1923	808
704	1925	805
705	1928	803
706	1930	800
707	1933	797
708	1935	794
709	1938	791
710	1940	788
711	1943	785
712	1945	783
713	1948	780
714	1950	777
715	1952	774
716	1955	771
717	1957	768
718	1960	766
719	1962	763
720	1964	760
721	1967	757
722	1969	754
723	1971	751
724	1974	748
725	1976	746
726	1979	743
727	1981	740
728	1983	737
729	1986	734
730	1988	731
731	1991	728
732	1994	726
733	1996	723
734	1999	720
735	2001	717
736	2003	715
737	2006	712
738	2008	709
739	2011	706
740	2013	703
741	2015	700
742	2018	698
743	2020	695
744	2022	692
745	2025	689
746	2027	686
747	2030	683
748	2032	681
749	2034	678
750	2037	675
751	2039	672
752	2042	669
753	2044	667
754	2046	664
755	2049	661
756	2051	658
757	2053	655
758	2056	652
759	2058	650
760	2061	647
761	2063	644
762	2065	641
763	2068	638
764	2070	636
765	2072	633
766	2075	630
767	2077	627
768	2079	624
769	2082	621
770	2084	619
771	2087	616
772	2089	613
773	2091	610
774	2094	607
775	2096	605
776	2098	602
777	2101	599
778	2103	596
779	2105	593
780	2108	591
781	2110	588
782	2113	585
783	2115	582
784	2117	580
785	2120	577
786	2123	574
787	2125	571
788	2127	569
789	2130	566
790	2132	563
791	2134	560
792	2137	557
793	2139	555
794	2142	552
795	2144	549
796	2147	546
797	2149	544
798	2151	541
799	2153	538
800	2156	535
801	2158	532
802	2160	530
803	2163	527
804	2165	524
805	2168	521
806	2170	519
807	2173	516
808	2175	513
809	2177	510
810	2179	508
811	2182	505
812	2184	502
813	2187	499
814	2189	497
815	2191	494
816	2194	491
817	2196	488
818	2199	486
819	2201	483
820	2204	480
821	2206	477
822	2208	475
823	2211	472
824	2213	469
825	2216	466
826	2218	464
827	2220	461
828	2223	458
829	2225	455
830	2227	453
831	2230	450
832	2232	447
833	2235	444
834	2237	442
835	2240	439
836	2242	436
837	2244	433
838	2247	431
839	2250	428
840	2252	425
841	2254	423
842	2257	420
843	2259	417
844	2261	414
845	2264	412
846	2267	409
847	2269	406
848	2271	404
849	2274	401
850	2276	398
851	2278	395
852	2281	393
853	2283	390
854	2286	387
855	2288	385
856	2291	382
857	2293	379
858	2296	376
859	2298	374
860	2300	371
861	2303	368
862	2305	366
863	2307	363
864	2310	360
865	2312	357
866	2315	355
867	2317	352
868	2320	349
869	2322	347
870	2324	344
871	2326	341
872	2329	338
873	2332	336
874	2334	333
875	2336	330
876	2339	328
877	2341	325
878	2344	322
879	2346	320
880	2349	317
881	2351	314
882	2353	311
883	2356	309
884	2358	306
885	2361	303
886	2363	301
887	2365	298
888	2368	295
889	2370	292
890	2372	290
891	2375	287
892	2377	284
893	2380	282
894	2382	279
895	2385	276
896	2387	274
897	2389	271
898	2392	268
899	2394	266
900	2397	263
901	2399	260
902	2401	258
903	2404	255
904	2406	252
905	2409	249
906	2411	247
907	2413	244
908	2415	241
909	2418	239
910	2420	236
911	2423	233
912	2425	231
913	2428	228
914	2430	225
915	2432	223
916	2435	220
917	2437	217
918	2440	215
919	2442	212
920	2445	209
921	2447	207
922	2449	204
923	2452	201
924	2454	199
925	2456	196
926	2459	193
927	2461	190
928	2463	188
929	2466	185
930	2468	182
931	2470	180
932	2473	177
933	2475	174
934	2477	172
935	2480	169
936	2482	166
937	2484	164
938	2486	161
939	2489	158
940	2491	156
941	2493	153
942	2496	150
943	2498	148
944	2500	145
945	2502	142
946	2505	140
947	2507	137
948	2509	134
949	2512	132
950	2514	129
951	2516	126
952	2518	124
953	2521	121
954	2523	118
955	2526	116
956	2528	113
957	2530	110
958	2532	108
959	2535	105
960	2537	102
961	2539	100
962	2542	97
963	2544	95
964	2546	92
965	2548	89
966	2551	87
967	2553	84
968	2555	81
969	2558	79
970	2560	76
971	2562	73
972	2565	71
973	2567	68
974	2569	65
975	2572	63
976	2574	60
977	2576	57
978	2578	55
979	2581	52
980	2583	50
981	2586	47
982	2588	44
983	2590	42
984	2593	39
985	2595	36
986	2597	34
987	2599	31
988	2602	28
989	2604	26
990	2607	23
991	2609	21
992	2611	18
993	2613	15
994	2616	13
995	2618	10
996	2620	7
997	2623	5
998	2625	2
999	2627	0
