iter	RMSE
242	0.3059880053
243	0.3056156065
244	0.305298658
245	0.3050879258
246	0.3047743974
247	0.3046067709
248	0.3044442665
249	0.3041240066
250	0.3038489794
251	0.3035679081
252	0.3033650812
253	0.3030138869
254	0.302674746
255	0.3024701225
256	0.3021704355
257	0.3019828441
258	0.3013361487
259	0.3010983012
260	0.3006662363
261	0.3000962663
262	0.2998876316
263	0.299668381
264	0.2994171781
265	0.2992487711
266	0.29902877
267	0.2988003846
268	0.2983314023
269	0.2979457601
270	0.2976688394
271	0.2972613259
272	0.2969687708
273	0.2968292687
274	0.2966016345
275	0.296289993
276	0.2961010445
277	0.2959907668
278	0.2957644037
279	0.2954961646
280	0.2952612101
281	0.2951229018
282	0.2948178149
283	0.2947126421
284	0.294530362
285	0.294292469
286	0.2940421907
287	0.2939449564
288	0.2937073191
289	0.2935051552
290	0.2931822593
291	0.2929393993
292	0.2927792805
293	0.2924995247
294	0.2922867257
295	0.2919854381
296	0.2916492843
297	0.2914042989
298	0.2910057809
299	0.2908867365
300	0.2904290254
301	0.2901796275
302	0.2898490207
303	0.2895121953
304	0.2892241966
305	0.2890416934
306	0.2888122036
307	0.2886143933
308	0.2884238111
309	0.2882075733
310	0.2879743851
311	0.2877442979
312	0.2874231931
313	0.2872548676
314	0.2870774043
315	0.2869149151
316	0.2867821852
317	0.2866748117
318	0.2865469596
319	0.2862377376
320	0.286057162
321	0.2858694621
322	0.2856215683
323	0.2853758418
324	0.2852317069
325	0.2849792331
326	0.2845970014
327	0.2844135985
328	0.2842977067
329	0.2842163499
330	0.2840491675
331	0.2836771973
332	0.2834470436
333	0.2832149992
334	0.2831334808
335	0.2829177517
336	0.2827628164
337	0.2825015255
338	0.2821729951
339	0.2819566183
340	0.2817786428
341	0.2815700785
342	0.281358726
343	0.2811752259
344	0.2809595623
345	0.2807608403
346	0.2805927269
347	0.2804018964
348	0.2802487975
349	0.2800607794
350	0.2799144596
351	0.2798491494
352	0.2797580819
353	0.2793221476
354	0.2791501106
355	0.2788955538
356	0.2787626381
357	0.2786011814
358	0.2783443922
359	0.2781748656
360	0.2779980854
361	0.2777673992
362	0.2776537891
363	0.2774713339
364	0.2773088703
365	0.2771053108
366	0.2769695183
367	0.2767501601
368	0.2766581962
369	0.2764915798
370	0.2762908782
371	0.2760862918
372	0.2759931104
373	0.2758590468
374	0.2756727625
375	0.2755934414
376	0.2754250375
377	0.2748869116
378	0.2747695589
379	0.2746638006
380	0.2745525682
381	0.2744863729
382	0.2741973031
383	0.2740718531
384	0.2740035223
385	0.2738973046
386	0.2736987414
387	0.2735351031
388	0.2734266001
389	0.2732944556
390	0.2731944972
391	0.2730809436
392	0.2728730277
393	0.2727442196
394	0.2722669462
395	0.2720128798
396	0.2717975622
397	0.271675261
398	0.2714010055
399	0.2712934161
400	0.2711537514
401	0.2709546152
402	0.270799755
403	0.2706272489
404	0.2705386429
405	0.2703741198
406	0.2701680582
407	0.270079741
408	0.2699311696
409	0.2697767037
410	0.2696530581
411	0.2695495307
412	0.2694400889
413	0.2693280382
414	0.2691594966
415	0.2690329883
416	0.2689288672
417	0.2687923748
418	0.2686128416
419	0.2684933779
420	0.2683573511
421	0.2680826455
422	0.2679725845
423	0.2678495029
424	0.2677691452
425	0.2676192961
426	0.26747523
427	0.2673824725
428	0.2672359931
429	0.2670980599
430	0.2669959543
431	0.2668379045
432	0.2666558549
433	0.2663285745
434	0.2661659665
435	0.2661120038
436	0.2659703315
437	0.2658366664
438	0.2656349038
439	0.265494
440	0.2653849329
441	0.2652380909
442	0.2651880369
443	0.2650830927
444	0.2649764413
445	0.2648229839
446	0.2646965023
447	0.2645144723
448	0.2641394496
449	0.2640134506
450	0.2638944615
451	0.2637316203
452	0.2636132392
453	0.2633635162
454	0.2630860222
455	0.2629265151
456	0.2627571684
457	0.2626622066
458	0.2625731738
459	0.2623038385
460	0.2622067708
461	0.262136447
462	0.2620130901
463	0.2619998394
464	0.2619540883
465	0.261845578
466	0.2617433987
467	0.2615922935
468	0.2614491335
469	0.2613763871
470	0.2611758999
471	0.2610680774
472	0.2609924837
473	0.2609541181
474	0.2609036554
475	0.2607922292
476	0.2606670995
477	0.2605740587
478	0.26040379
479	0.2601660272
480	0.2601006786
481	0.2599824084
482	0.2596747233
483	0.2596030018
484	0.259554026
485	0.2594533815
486	0.2593224677
487	0.2592486526
488	0.2590949708
489	0.2589742811
490	0.2589023065
491	0.2587066316
492	0.2584885655
493	0.2583647042
494	0.2582831008
495	0.258141373
496	0.257941756
497	0.2577415287
498	0.2575842251
499	0.2575016643
500	0.2573229903
501	0.257171735
502	0.2570795023
503	0.2570007877
504	0.2569290615
505	0.2568289379
506	0.256792962
507	0.2565879046
508	0.2564781975
509	0.256402982
510	0.2562692646
511	0.2561773669
512	0.255963334
513	0.2558274682
514	0.2557840304
515	0.2557191446
516	0.2556386629
517	0.2555904911
518	0.255434468
519	0.2553127544
520	0.255267076
521	0.2551916332
522	0.2551022862
523	0.2550123748
524	0.2548158551
525	0.2547070679
526	0.2545681782
527	0.2544263587
528	0.2543415073
529	0.2541164176
530	0.2540293165
531	0.2539868538
532	0.2538454155
533	0.2537906989
534	0.2536661052
535	0.2535531107
536	0.2534517457
537	0.2533207003
538	0.2532591197
539	0.2531310746
540	0.253034691
541	0.2529336621
542	0.2527993213
543	0.2527561096
544	0.2526756648
545	0.2525972101
546	0.252499139
547	0.2524293944
548	0.2522463394
549	0.2522233968
550	0.2521379027
551	0.252012108
552	0.2519592152
553	0.2518203618
554	0.2517196895
555	0.2516070275
556	0.2515775556
557	0.2515594364
558	0.251544482
559	0.251459897
560	0.251390878
561	0.2513247976
562	0.2512239055
563	0.2511090411
564	0.2509919623
565	0.2509605011
566	0.2508768526
567	0.2507478276
568	0.2507126843
569	0.2506038044
570	0.2503527374
571	0.2501461494
572	0.2500825349
573	0.2500140897
574	0.2499401405
575	0.2499122958
576	0.2498878409
577	0.2498174258
578	0.2496126613
579	0.2494763241
580	0.2492900485
581	0.2492618777
582	0.2491678569
583	0.2490301994
584	0.2488083727
585	0.248702733
586	0.2485886302
587	0.2484371979
588	0.2483963303
589	0.2482722231
590	0.2480709224
591	0.24795433
592	0.2478263468
593	0.2477649116
594	0.2476373064
595	0.2475482402
596	0.2474800629
597	0.2473715307
598	0.247261092
599	0.2471435655
600	0.2470771356
601	0.2469461369
602	0.2468695903
603	0.2468164394
604	0.2466156047
605	0.2465698961
606	0.2464716853
607	0.2463656062
608	0.2461841393
609	0.2460857168
610	0.2459986347
611	0.2458876373
612	0.2458080303
613	0.245758576
614	0.2457281227
615	0.2456567429
616	0.2454849655
617	0.2453170173
618	0.2451737409
619	0.2450983328
620	0.2450278411
621	0.2449265137
622	0.2448248633
623	0.244738418
624	0.2445607988
625	0.244507104
626	0.2443913305
627	0.2442544979
628	0.244104911
629	0.2439854962
630	0.2439014507
631	0.2438289082
632	0.2437250225
633	0.2435473073
634	0.2434640696
635	0.2433556141
636	0.2431851296
637	0.2431210395
638	0.2430341622
639	0.2429064659
640	0.2428167541
641	0.242788049
642	0.2425600929
643	0.2424558116
644	0.2424046834
645	0.2423132486
646	0.2422349586
647	0.2421475539
648	0.2419876298
649	0.2418078515
650	0.2416761027
651	0.2415638113
652	0.2415372266
653	0.2415030961
654	0.2413803634
655	0.2413475397
656	0.2412764878
657	0.241203287
658	0.2411458435
659	0.2410287126
660	0.2409155792
661	0.2407987483
662	0.2407233174
663	0.2406741085
664	0.2406664491
665	0.2405994346
666	0.2404956947
667	0.2403939319
668	0.24030905
669	0.2401714415
670	0.2400851423
671	0.2399688947
672	0.2399222095
673	0.2398885767
674	0.2397452485
675	0.2397087704
676	0.2396138988
677	0.2394977834
678	0.2394335507
679	0.2393763468
680	0.2392863373
681	0.2391891658
682	0.2391593092
683	0.2390792778
684	0.2390256526
685	0.2389254387
686	0.2388361248
687	0.2388208897
688	0.2387355215
689	0.2386737476
690	0.2386295762
691	0.2385893982
692	0.2385343105
693	0.2385162098
694	0.2384142485
695	0.2383920594
696	0.2383409819
697	0.2383090077
698	0.2382229026
699	0.2381313259
700	0.2380962844
701	0.2380903909
702	0.2380721187
703	0.2379779805
704	0.2379253547
705	0.2378501134
706	0.2377348145
707	0.237639054
708	0.2375920304
709	0.2374946642
710	0.237330887
711	0.2372360432
712	0.2371459136
713	0.2370919171
714	0.2369549975
715	0.2368946688
716	0.2368263153
717	0.2367215508
718	0.2366945712
719	0.236649407
720	0.2365945799
721	0.2365089307
722	0.2363942553
723	0.2363155476
724	0.2362180517
725	0.2361404402
726	0.2360656809
727	0.2359703053
728	0.2358774933
729	0.2358240386
730	0.2356820894
731	0.2356266577
732	0.2355085325
733	0.2353943511
734	0.2353164643
735	0.2352533987
736	0.2352105766
737	0.2351408328
738	0.2350887435
739	0.2349795005
740	0.234835155
741	0.2348033818
742	0.2347380748
743	0.234676482
744	0.2346402878
745	0.2345495653
746	0.2345346593
747	0.2344020539
748	0.2343581968
749	0.234291543
750	0.2341985865
751	0.2341683192
752	0.2341019702
753	0.2340947495
754	0.2340802533
755	0.2339545163
756	0.2338973896
757	0.2338682029
758	0.233841431
759	0.2337940273
760	0.2336662308
761	0.2336300849
762	0.23348457
763	0.2333186294
764	0.2332655878
765	0.2332502546
766	0.2331628021
767	0.2331118174
768	0.2330224325
769	0.2329800164
770	0.2328960001
771	0.2328371368
772	0.2328035438
773	0.2327985937
774	0.2326827936
775	0.2325648942
776	0.2325358078
777	0.2325118291
778	0.2323945379
779	0.2323579501
780	0.2322132231
781	0.2321471181
782	0.2320761831
783	0.232021107
784	0.2319474264
785	0.2318832207
786	0.23175748
787	0.2316949969
788	0.2316802184
789	0.2315445586
790	0.2314775533
791	0.2314019019
792	0.2313183644
793	0.2312128198
794	0.2311378326
795	0.2310039433
796	0.2309224869
797	0.2308040512
798	0.2307785128
799	0.2307578645
800	0.2306878852
801	0.230580415
802	0.2305277505
803	0.2304751942
804	0.2304503529
805	0.2303047002
806	0.2301779091
807	0.2300451257
808	0.229989085
809	0.2298885856
810	0.2298671542
811	0.2297977558
812	0.2297064921
813	0.2296619775
814	0.2296421329
815	0.2295345994
816	0.2294193434
817	0.229358767
818	0.229294223
819	0.2292056206
820	0.2291904216
821	0.2290515194
822	0.2289124496
823	0.2287901578
824	0.2286989329
825	0.2286821722
826	0.2286357703
827	0.2285734357
828	0.2285555835
829	0.2284698451
830	0.2284475162
831	0.228435615
832	0.2283633146
833	0.2282670648
834	0.2282042939
835	0.2280838358
836	0.2279707145
837	0.227893945
838	0.2278354998
839	0.2277356372
840	0.2276611542
841	0.2276291484
842	0.2275275635
843	0.2274539051
844	0.2273874958
845	0.2273490699
846	0.2272583579
847	0.2272208436
848	0.2271609381
849	0.2270232068
850	0.2269455166
851	0.226836141
852	0.2266956254
853	0.2265975115
854	0.2265469184
855	0.2264453077
856	0.2263547472
857	0.2262692383
858	0.2261855554
859	0.2261364774
860	0.2260478489
861	0.2259799556
862	0.225920852
863	0.2259100925
864	0.2258821579
865	0.2258375523
866	0.2257770422
867	0.2256692251
868	0.2255999479
869	0.2254733156
870	0.2254303414
871	0.2254209131
872	0.2253383482
873	0.2251966314
874	0.2250685689
875	0.2249963326
876	0.2248808865
877	0.224812724
878	0.224796815
879	0.224674254
880	0.2245807799
881	0.2244978151
882	0.224429425
883	0.2243968993
884	0.2243469052
885	0.2242786853
886	0.2242168796
887	0.2241695403
888	0.2241085059
889	0.2240969022
890	0.2239693959
891	0.2238557879
892	0.2238003243
893	0.2237575673
894	0.2237270532
895	0.2236482803
896	0.2235580272
897	0.2234418976
898	0.2233887973
899	0.2232718237
900	0.2231697907
901	0.2231183088
902	0.223059979
903	0.2229892054
904	0.222956823
905	0.2228862119
906	0.2228780361
907	0.2227879208
908	0.2227498326
909	0.2226365259
910	0.2225371109
911	0.2224750728
912	0.2223929988
913	0.2223286406
914	0.2223212857
915	0.222249508
916	0.2221952522
917	0.2221372347
918	0.2220310324
919	0.2219467182
920	0.221886811
921	0.2218468192
922	0.2216847046
923	0.2216535207
924	0.2216065984
925	0.2215350645
926	0.2214540881
927	0.2213940943
928	0.2213252516
929	0.2212826101
930	0.221260918
931	0.2210960065
932	0.220937583
933	0.2208762945
934	0.2208303889
935	0.2207773604
936	0.2207048418
937	0.2206799057
938	0.22060445
939	0.2205460349
940	0.2205224717
941	0.2204525877
942	0.2204095885
943	0.2203549372
944	0.2202341264
945	0.2201875267
946	0.2201244933
947	0.2200637423
948	0.2199926822
949	0.2198934463
950	0.219831162
951	0.2197495611
952	0.2196930317
953	0.2196561128
954	0.2196402561
955	0.2195782213
956	0.2195494966
957	0.219533906
958	0.2194678109
959	0.2194096632
960	0.2193844629
961	0.2193762027
962	0.2192693705
963	0.2192227792
964	0.2191764493
965	0.2191101906
966	0.2190628543
967	0.2190426807
968	0.2189655627
969	0.2189438962
970	0.2188895805
971	0.2188276362
972	0.2187640996
973	0.2187560822
974	0.2186412706
975	0.2185595561
976	0.2184798067
977	0.2184355793
978	0.2183814948
979	0.2183643093
980	0.2183547559
981	0.2182880559
982	0.2181764179
983	0.2181468009
984	0.2180473956
985	0.2179554221
986	0.2179251812
987	0.2178744917
988	0.2178191628
989	0.2177997194
990	0.2177645135
991	0.2177204401
992	0.2176892711
993	0.2175870068
994	0.2175383388
995	0.2174774955
996	0.2174212749
997	0.2173551851
998	0.2172851636
999	0.2171530936
